device: cuda
config: {'variant': 'image_only', 'quality_aware': False, 'n_folds': 5, 'seed': 42, 'image_size': 224, 'batch_size': 16, 'epochs': 30, 'lr': 0.0001, 'weight_decay': 0.0001, 'aux_loss_weight': 0.4, 'quality_loss_weight': 0.15, 'focal_gamma': 0.0, 'train_on_all_dermoscopic_images': True, 'fusion_hidden_dim': 256, 'fusion_dropout': 0.3, 'metadata_hidden_dim': 128, 'metadata_out_dim': 128, 'num_aux_classes': 9, 'results_ledger_path': 'results/results_ledger.csv', 'checkpoint_dir': 'checkpoints', 'log_dir': 'logs', 'notes': ''}
[build_lesion_table] 240 lesions total
  binary task: 6 excluded (malignancy=='unknown')
  aux 9-class task: 6 excluded (unified_diagnosis=='UNK' or missing)
  histopath-confirmed: 28
  lesions missing a quality rating: 2
[build_image_index] 2394 raw image rows -> 2131 after lesion_id join -> 2131 after file-existence check (0 missing files dropped)
fold 0: 5 subjects, 9.0 malignant lesions
fold 1: 6 subjects, 9.0 malignant lesions
fold 2: 16 subjects, 8.0 malignant lesions
fold 3: 16 subjects, 8.0 malignant lesions
fold 4: 16 subjects, 8.0 malignant lesions
[_build_samples] 1/190 lesions had no usable image on disk for this split — dropped
[fold 0] epoch 1/30 train_loss=1.6008 val_bacc=0.8576 val_auroc=0.9583
[fold 0] epoch 2/30 train_loss=0.9171 val_bacc=0.6354 val_auroc=0.9306
[fold 0] epoch 3/30 train_loss=0.5216 val_bacc=0.6910 val_auroc=0.9236
[fold 0] epoch 4/30 train_loss=0.3256 val_bacc=0.6354 val_auroc=0.8681
[fold 0] epoch 5/30 train_loss=0.2023 val_bacc=0.8819 val_auroc=0.9375
[fold 0] epoch 6/30 train_loss=0.1763 val_bacc=0.4688 val_auroc=0.9097
[fold 0] epoch 7/30 train_loss=0.0962 val_bacc=0.7465 val_auroc=0.9236
[fold 0] epoch 8/30 train_loss=0.1196 val_bacc=0.7465 val_auroc=0.8889
[fold 0] epoch 9/30 train_loss=0.0813 val_bacc=0.7465 val_auroc=0.8681
[fold 0] epoch 10/30 train_loss=0.2708 val_bacc=0.7153 val_auroc=0.8125
[fold 0] epoch 11/30 train_loss=0.2583 val_bacc=0.8333 val_auroc=0.8958
[fold 0] epoch 12/30 train_loss=0.1048 val_bacc=0.5243 val_auroc=0.7500
[fold 0] epoch 13/30 train_loss=0.0611 val_bacc=0.6354 val_auroc=0.7639
[fold 0] epoch 14/30 train_loss=0.0813 val_bacc=0.7465 val_auroc=0.7778
[fold 0] epoch 15/30 train_loss=0.0626 val_bacc=0.7708 val_auroc=0.7847
[fold 0] epoch 16/30 train_loss=0.0836 val_bacc=0.6910 val_auroc=0.7500
[fold 0] epoch 17/30 train_loss=0.0565 val_bacc=0.8021 val_auroc=0.7500
[fold 0] epoch 18/30 train_loss=0.0295 val_bacc=0.8021 val_auroc=0.7917
[fold 0] epoch 19/30 train_loss=0.0260 val_bacc=0.7465 val_auroc=0.8125
[fold 0] epoch 20/30 train_loss=0.0368 val_bacc=0.8021 val_auroc=0.8403
[fold 0] epoch 21/30 train_loss=0.0447 val_bacc=0.8021 val_auroc=0.8194
[fold 0] epoch 22/30 train_loss=0.0330 val_bacc=0.8021 val_auroc=0.7847
[fold 0] epoch 23/30 train_loss=0.0158 val_bacc=0.7465 val_auroc=0.8819
[fold 0] epoch 24/30 train_loss=0.0241 val_bacc=0.7465 val_auroc=0.8681
[fold 0] epoch 25/30 train_loss=0.0172 val_bacc=0.7465 val_auroc=0.8542
[fold 0] epoch 26/30 train_loss=0.0233 val_bacc=0.6910 val_auroc=0.8125
[fold 0] epoch 27/30 train_loss=0.0253 val_bacc=0.7778 val_auroc=0.9306
[fold 0] epoch 28/30 train_loss=0.0169 val_bacc=0.7708 val_auroc=0.9375
[fold 0] epoch 29/30 train_loss=0.0139 val_bacc=0.7153 val_auroc=0.9097
[fold 0] epoch 30/30 train_loss=0.0188 val_bacc=0.7153 val_auroc=0.9097
[fold 0] TEST accuracy=0.8000 balanced_accuracy=0.7465 auroc=0.9444
[_build_samples] 1/163 lesions had no usable image on disk for this split — dropped
[fold 1] epoch 1/30 train_loss=1.7082 val_bacc=0.6753 val_auroc=0.8476
[fold 1] epoch 2/30 train_loss=0.9167 val_bacc=0.6753 val_auroc=0.8354
[fold 1] epoch 3/30 train_loss=0.5312 val_bacc=0.6631 val_auroc=0.8384
[fold 1] epoch 4/30 train_loss=0.2770 val_bacc=0.6753 val_auroc=0.9055
[fold 1] epoch 5/30 train_loss=0.2751 val_bacc=0.7256 val_auroc=0.9055
[fold 1] epoch 6/30 train_loss=0.1948 val_bacc=0.6753 val_auroc=0.8079
[fold 1] epoch 7/30 train_loss=0.1256 val_bacc=0.7378 val_auroc=0.8994
[fold 1] epoch 8/30 train_loss=0.1810 val_bacc=0.8003 val_auroc=0.8994
[fold 1] epoch 9/30 train_loss=0.1653 val_bacc=0.6631 val_auroc=0.8079
[fold 1] epoch 10/30 train_loss=0.1079 val_bacc=0.6753 val_auroc=0.9085
[fold 1] epoch 11/30 train_loss=0.1169 val_bacc=0.7378 val_auroc=0.8841
[fold 1] epoch 12/30 train_loss=0.1185 val_bacc=0.7881 val_auroc=0.9360
[fold 1] epoch 13/30 train_loss=0.1623 val_bacc=0.6753 val_auroc=0.9055
[fold 1] epoch 14/30 train_loss=0.0846 val_bacc=0.8003 val_auroc=0.8994
[fold 1] epoch 15/30 train_loss=0.0699 val_bacc=0.6753 val_auroc=0.8415
[fold 1] epoch 16/30 train_loss=0.0340 val_bacc=0.6753 val_auroc=0.8354
[fold 1] epoch 17/30 train_loss=0.0581 val_bacc=0.6753 val_auroc=0.8323
[fold 1] epoch 18/30 train_loss=0.0414 val_bacc=0.6753 val_auroc=0.8994
[fold 1] epoch 19/30 train_loss=0.0260 val_bacc=0.7378 val_auroc=0.9085
[fold 1] epoch 20/30 train_loss=0.0367 val_bacc=0.6753 val_auroc=0.8963
[fold 1] epoch 21/30 train_loss=0.2507 val_bacc=0.6753 val_auroc=0.8963
[fold 1] epoch 22/30 train_loss=0.1834 val_bacc=0.6631 val_auroc=0.9421
[fold 1] epoch 23/30 train_loss=0.0471 val_bacc=0.7378 val_auroc=0.9634
[fold 1] epoch 24/30 train_loss=0.0379 val_bacc=0.7378 val_auroc=0.9634
[fold 1] epoch 25/30 train_loss=0.0544 val_bacc=0.6753 val_auroc=0.9360
[fold 1] epoch 26/30 train_loss=0.0530 val_bacc=0.6753 val_auroc=0.9268
[fold 1] epoch 27/30 train_loss=0.0363 val_bacc=0.7378 val_auroc=0.9360
[fold 1] epoch 28/30 train_loss=0.2213 val_bacc=0.6631 val_auroc=0.8872
[fold 1] epoch 29/30 train_loss=0.0762 val_bacc=0.6753 val_auroc=0.8476
[fold 1] epoch 30/30 train_loss=0.0434 val_bacc=0.6753 val_auroc=0.8598
[fold 1] TEST accuracy=0.8000 balanced_accuracy=0.7465 auroc=0.9236
[_build_samples] 1/122 lesions had no usable image on disk for this split — dropped
[_build_samples] 2/66 lesions had no usable image on disk for this split — dropped
[fold 2] epoch 1/30 train_loss=1.6559 val_bacc=0.8426 val_auroc=0.8519
[fold 2] epoch 2/30 train_loss=0.9690 val_bacc=0.7477 val_auroc=0.8472
[fold 2] epoch 3/30 train_loss=0.6016 val_bacc=0.6944 val_auroc=0.8657
[fold 2] epoch 4/30 train_loss=0.3372 val_bacc=0.7037 val_auroc=0.8472
[fold 2] epoch 5/30 train_loss=0.2469 val_bacc=0.6944 val_auroc=0.8426
[fold 2] epoch 6/30 train_loss=0.2073 val_bacc=0.5417 val_auroc=0.7130
[fold 2] epoch 7/30 train_loss=0.2242 val_bacc=0.8264 val_auroc=0.8773
[fold 2] epoch 8/30 train_loss=0.1358 val_bacc=0.8009 val_auroc=0.8727
[fold 2] epoch 9/30 train_loss=0.1048 val_bacc=0.6204 val_auroc=0.8009
[fold 2] epoch 10/30 train_loss=0.0797 val_bacc=0.6505 val_auroc=0.8125
[fold 2] epoch 11/30 train_loss=0.0440 val_bacc=0.6505 val_auroc=0.8287
[fold 2] epoch 12/30 train_loss=0.0869 val_bacc=0.7731 val_auroc=0.8889
[fold 2] epoch 13/30 train_loss=0.0552 val_bacc=0.7292 val_auroc=0.8843
[fold 2] epoch 14/30 train_loss=0.0899 val_bacc=0.7824 val_auroc=0.8981
[fold 2] epoch 15/30 train_loss=0.0469 val_bacc=0.7824 val_auroc=0.9144
[fold 2] epoch 16/30 train_loss=0.0437 val_bacc=0.7917 val_auroc=0.9120
[fold 2] epoch 17/30 train_loss=0.0380 val_bacc=0.7731 val_auroc=0.8935
[fold 2] epoch 18/30 train_loss=0.0440 val_bacc=0.8102 val_auroc=0.8819
[fold 2] epoch 19/30 train_loss=0.0335 val_bacc=0.7824 val_auroc=0.8426
[fold 2] epoch 20/30 train_loss=0.0512 val_bacc=0.6042 val_auroc=0.7662
[fold 2] epoch 21/30 train_loss=0.0681 val_bacc=0.8264 val_auroc=0.9074
[fold 2] epoch 22/30 train_loss=0.0187 val_bacc=0.8009 val_auroc=0.8866
[fold 2] epoch 23/30 train_loss=0.0173 val_bacc=0.7384 val_auroc=0.8819
