field,mean_abs_logit_delta,in_paper_significant_fields
organ_transplant,0.04558101457433175,False
lesion_status_when_captured,0.04132776495890092,False
immunosuppresion,0.03796723406067339,False
h_skin_cancer_relatives,0.03461647696666798,False
moles_bigger_5mm,0.03379079320673215,False
sunbed,0.03182952052329557,False
skin_reaction_to_sun,0.02955300105198965,False
derived_from,0.028212247163815013,False
h_cancer,0.027417054021004902,False
referral_diagnosis,0.023789106000025394,True
h_skin_cancer,0.018997358252941552,False
natural_hair_color,0.018221560107954476,False
sex,0.014632253355141414,True
moles_body,0.012402877969256902,False
sunburn_number_group,0.011213752930447206,False
location_group,0.010911232428783077,True
moles_body_18,0.007545368998485096,False
age,0.0011060543800309553,False
weight,0.001044240732819347,False
diameter,0.0009693259026034404,True
height,0.0006669348705623109,False
