variant,quality_aware,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,sensitivity_malignant_mean,sensitivity_malignant_std,specificity_mean,specificity_std,auroc_mean,auroc_std
channel_gated,False,5,0.8326,0.0703,0.7834,0.0852,0.7567,0.073,0.6722,0.1591,0.8947,0.0475,0.8814,0.0647
channel_gated,True,5,0.8117,0.068,0.74,0.0648,0.7148,0.0645,0.5778,0.1772,0.9023,0.0732,0.8787,0.0408
channel_gated_contrastive,False,5,0.812,0.0844,0.7705,0.0675,0.7338,0.0993,0.6694,0.1504,0.8716,0.1217,0.873,0.0537
channel_gated_focal,False,5,0.8575,0.0229,0.8086,0.0774,0.779,0.0451,0.6944,0.1964,0.9228,0.0599,0.8768,0.0632
channel_gated_multiimage,False,5,0.8539,0.0687,0.8132,0.1039,0.7836,0.083,0.7194,0.2047,0.9069,0.0342,0.9055,0.0612
channel_gated_optimizerv2,False,5,0.8219,0.0438,0.7568,0.0867,0.7306,0.0773,0.6611,0.1891,0.8526,0.0371,0.8451,0.092
channel_gated_preprocessed,False,5,0.8284,0.0437,0.7934,0.0413,0.7529,0.0655,0.7361,0.0636,0.8507,0.0684,0.8748,0.0594
channel_gated_tta,False,5,0.8407,0.0673,0.7883,0.0818,0.7651,0.0648,0.6722,0.1591,0.9044,0.0338,0.8972,0.0729
channel_gated_tta_multiimage,False,5,0.8567,0.0693,0.8147,0.1039,0.7871,0.0806,0.7194,0.2047,0.9101,0.0309,0.9084,0.0648
image_only,False,5,0.8126,0.0196,0.7844,0.0731,0.7329,0.0376,0.6972,0.187,0.8716,0.0608,0.8953,0.0528
late_fusion,False,5,0.8311,0.052,0.7675,0.0895,0.7431,0.0513,0.6444,0.1906,0.8906,0.0213,0.8514,0.0799
